Kacper, Juroszek, Polska, 20, 175, 88, 81, 72, 2, 51, 51, 66, 70, 3
Adam, Niżnik, Polska, 20, 175, 79, 76, 75, 2, 48, 49, 64, 72, 2
Jan, Habdas, Polska, 20, 175, 90, 80, 71, 2, 46, 48, 62, 74, 3
Jarosław, Krzak, Polska, 20, 175, 84, 77, 75, 1, 48, 50, 68, 71, 3
Tomasz, Pilch, Polska, 20, 175, 91, 88, 85, 1, 54, 52, 72, 79, 3
Stefan, Hula, Polska, 20, 175, 89, 89, 85, 2, 55, 54, 85, 81, 4
Maciej, Kot, Polska, 20, 175, 88, 84, 89, 2, 54, 54, 78, 76, 3
Aleksander, Zniszczoł, Polska, 20, 175, 86, 89, 87, 3, 54, 53, 76, 79, 3
Paweł, Wąsek, Polska, 20, 175, 92, 90, 82, 1, 52, 54, 70, 78, 3
Klemens, Murańka, Polska, 20, 175, 90, 87, 86, 1, 52, 52, 75, 80, 3
Jakub, Wolny, Polska, 20, 175, 87, 89, 90, 2, 52, 55, 75, 80, 3
Andrzej, Stękała, Polska, 20, 175, 88, 93, 88, 2, 54, 55, 76, 80, 3
Piotr, Żyła, Polska, 20, 175, 93, 92, 98, 4, 55, 55, 89, 90, 4
Dawid, Kubacki, Polska, 20, 175, 95, 96, 91, 57, 55, 87, 86, 4
Kamil, Stoch, Polska, 20, 175, 89, 96, 96, 2, 57, 58, 91, 80, 4
